id,name
0,ch.qos.logback.classic
1,ch.qos.logback.classic.pattern
2,ch.qos.logback.classic.pattern.color
3,ch.qos.logback.classic.selector
4,ch.qos.logback.classic.spi
5,ch.qos.logback.classic.util
6,ch.qos.logback.core
7,ch.qos.logback.core.encoder
8,ch.qos.logback.core.helpers
9,ch.qos.logback.core.joran.action
10,ch.qos.logback.core.joran.spi
11,ch.qos.logback.core.pattern
12,ch.qos.logback.core.pattern.color
13,ch.qos.logback.core.spi
14,ch.qos.logback.core.status
15,ch.qos.logback.core.util
16,com.fasterxml.jackson.core
17,com.fasterxml.jackson.core.base
18,com.fasterxml.jackson.core.exc
19,com.fasterxml.jackson.core.io
20,com.fasterxml.jackson.core.json
21,com.fasterxml.jackson.core.json.async
22,com.fasterxml.jackson.core.sym
23,com.fasterxml.jackson.core.util
24,com.oracle.svm.common.option
25,com.oracle.svm.core
26,com.oracle.svm.core.amd64
27,com.oracle.svm.core.c
28,com.oracle.svm.core.c.enums
29,com.oracle.svm.core.c.function
30,com.oracle.svm.core.classinitialization
31,com.oracle.svm.core.code
32,com.oracle.svm.core.config
33,com.oracle.svm.core.cpufeature
34,com.oracle.svm.core.genscavenge
35,com.oracle.svm.core.genscavenge.remset
36,com.oracle.svm.core.graal.amd64
37,com.oracle.svm.core.graal.code
38,com.oracle.svm.core.graal.jdk
39,com.oracle.svm.core.graal.snippets
40,com.oracle.svm.core.handles
41,com.oracle.svm.core.heap
42,com.oracle.svm.core.hub
43,com.oracle.svm.core.identityhashcode
44,com.oracle.svm.core.invoke
45,com.oracle.svm.core.jdk
46,com.oracle.svm.core.jdk.localization
47,com.oracle.svm.core.jdk.localization.bundles
48,com.oracle.svm.core.jdk.localization.compression
49,com.oracle.svm.core.jdk.localization.compression.utils
50,com.oracle.svm.core.jdk.management
51,com.oracle.svm.core.jdk.resources
52,com.oracle.svm.core.jfr.events
53,com.oracle.svm.core.jni
54,com.oracle.svm.core.jni.access
55,com.oracle.svm.core.jni.functions
56,com.oracle.svm.core.jni.headers
57,com.oracle.svm.core.locks
58,com.oracle.svm.core.log
59,com.oracle.svm.core.meta
60,com.oracle.svm.core.methodhandles
61,com.oracle.svm.core.monitor
62,com.oracle.svm.core.option
63,com.oracle.svm.core.os
64,com.oracle.svm.core.properties
65,com.oracle.svm.core.reflect
66,com.oracle.svm.core.reflect.proxy
67,com.oracle.svm.core.reflect.serialize
68,com.oracle.svm.core.reflect.target
69,com.oracle.svm.core.snippets
70,com.oracle.svm.core.stack
71,com.oracle.svm.core.thread
72,com.oracle.svm.core.threadlocal
73,com.oracle.svm.core.util
74,com.oracle.svm.core.windows
75,com.oracle.svm.core.windows.headers
76,com.oracle.svm.graal.isolated
77,com.oracle.svm.graal.stubs
78,com.oracle.svm.util
79,com.sun.beans
80,com.sun.beans.finder
81,com.sun.beans.introspect
82,com.sun.beans.util
83,com.sun.crypto.provider
84,com.sun.jndi.dns
85,com.sun.jndi.toolkit.ctx
86,com.sun.jndi.toolkit.url
87,com.sun.management.internal
88,com.sun.naming.internal
89,com.sun.proxy.jdk.proxy1
90,com.sun.proxy.jdk.proxy2
91,com.sun.security.jgss
92,example.micronaut
93,io.micronaut.aop
94,io.micronaut.aop.chain
95,io.micronaut.aop.exceptions
96,io.micronaut.aop.internal
97,io.micronaut.aop.internal.intercepted
98,io.micronaut.buffer.netty
99,io.micronaut.caffeine.cache
100,io.micronaut.caffeine.cache.stats
101,io.micronaut.context
102,io.micronaut.context.banner
103,io.micronaut.context.condition
104,io.micronaut.context.env
105,io.micronaut.context.env.yaml
106,io.micronaut.context.event
107,io.micronaut.context.exceptions
108,io.micronaut.context.scope
109,io.micronaut.core.annotation
110,io.micronaut.core.async
111,io.micronaut.core.async.processor
112,io.micronaut.core.async.publisher
113,io.micronaut.core.async.subscriber
114,io.micronaut.core.attr
115,io.micronaut.core.beans
116,io.micronaut.core.bind
117,io.micronaut.core.bind.annotation
118,io.micronaut.core.bind.exceptions
119,io.micronaut.core.cli
120,io.micronaut.core.convert
121,io.micronaut.core.convert.converters
122,io.micronaut.core.convert.exceptions
123,io.micronaut.core.convert.format
124,io.micronaut.core.convert.value
125,io.micronaut.core.io
126,io.micronaut.core.io.file
127,io.micronaut.core.io.scan
128,io.micronaut.core.io.service
129,io.micronaut.core.io.socket
130,io.micronaut.core.naming
131,io.micronaut.core.naming.conventions
132,io.micronaut.core.optim
133,io.micronaut.core.order
134,io.micronaut.core.reflect
135,io.micronaut.core.type
136,io.micronaut.core.util
137,io.micronaut.core.util.clhm
138,io.micronaut.core.util.locale
139,io.micronaut.core.value
140,io.micronaut.core.version
141,io.micronaut.discovery
142,io.micronaut.discovery.cloud
143,io.micronaut.discovery.cloud.digitalocean
144,io.micronaut.discovery.config
145,io.micronaut.discovery.event
146,io.micronaut.discovery.exceptions
147,io.micronaut.health
148,io.micronaut.http
149,io.micronaut.http.bind
150,io.micronaut.http.bind.binders
151,io.micronaut.http.client
152,io.micronaut.http.client.bind
153,io.micronaut.http.client.bind.binders
154,io.micronaut.http.client.exceptions
155,io.micronaut.http.client.filter
156,io.micronaut.http.client.filters
157,io.micronaut.http.client.interceptor
158,io.micronaut.http.client.interceptor.configuration
159,io.micronaut.http.client.loadbalance
160,io.micronaut.http.client.netty
161,io.micronaut.http.client.netty.ssl
162,io.micronaut.http.codec
163,io.micronaut.http.context
164,io.micronaut.http.context.event
165,io.micronaut.http.converters
166,io.micronaut.http.cookie
167,io.micronaut.http.exceptions
168,io.micronaut.http.filter
169,io.micronaut.http.hateoas
170,io.micronaut.http.netty
171,io.micronaut.http.netty.channel
172,io.micronaut.http.netty.channel.converters
173,io.micronaut.http.netty.configuration
